Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.18729	MAP.18690.collection		animal baited net trap	larval collection			1988-12/1988-12	Malaysia	GAZ	00003902	5.5667	100.3667
MAP.26597	MAP.26597.collection		animal baited net trap					Malaysia	GAZ	00003902	6.368	100.149
MAP.26598	MAP.26597.collection		animal baited net trap					Malaysia	GAZ	00003902	6.368	100.149
MAP.26600	MAP.26597.collection		animal baited net trap					Malaysia	GAZ	00003902	6.368	100.149
MAP.26601	MAP.26597.collection		animal baited net trap					Malaysia	GAZ	00003902	6.368	100.149
MAP.26603	MAP.26597.collection		animal baited net trap					Malaysia	GAZ	00003902	6.368	100.149
MAP.60371	MAP.60371.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1998-10/1998-10	Myanmar	GAZ	00006899	18.239	96.839
MAP.27978	MAP.27978.collection		resting outdoors				1997-10/1997-10	India	GAZ	00002839	11.397	79.2155
MAP.22832	MAP.22832.collection		man biting outdoors				1995-02/1995-02	Papua New Guinea	GAZ	00003922	-3.566	142.732
MAP.1951	MAP.1951.collection		man biting	animal baited net trap			1998-08/1998-08	Myanmar	GAZ	00006899	16.257	97.725
MAP.17145	MAP.17145.collection		larval collection				1995-05/1995-05	Sri Lanka	GAZ	00003924	8.1336	80.7459
MAP.17158	MAP.17145.collection		larval collection				1995-05/1995-05	Sri Lanka	GAZ	00003924	8.1336	80.7459
MAP.16766	MAP.16766.collection		animal baited net trap	house resting inside	larval collection	outlet window trap	1991-11/1991-12	Sri Lanka	GAZ	00003924	8.5708	81.2374
MAP.19622	MAP.19622.collection		carbon dioxide baited net trap				1995-10/1995-10	Australia	GAZ	00000463	-17.3277	145.9387
MAP.31178	MAP.31178.collection		house resting inside	animal biting	outdoor light trap		1992-06/1992-06	China	GAZ	00002845	30.9833	113.5
MAP.31185	MAP.31178.collection		house resting inside	animal biting	outdoor light trap		1992-06/1992-06	China	GAZ	00002845	30.9833	113.5
MAP.25710	MAP.25710.collection		light trap	resting outdoors			1999-07/1999-08	Republic of Korea	GAZ	00002802	37.944	126.845
MAP.52782	MAP.52782.collection		animal biting	man biting indoors	man biting outdoors	house resting inside	1993-04/1993-04	Indonesia	GAZ	00003727	-8.753	115.88
MAP.52807	MAP.52782.collection		animal biting	man biting indoors	man biting outdoors	house resting inside	1993-04/1993-04	Indonesia	GAZ	00003727	-8.753	115.88
MAP.59436	MAP.59436.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	24.211	96.144
MAP.59437	MAP.59436.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	24.211	96.144
MAP.59438	MAP.59436.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	24.211	96.144
MAP.59439	MAP.59436.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	24.211	96.144
MAP.59440	MAP.59436.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	24.211	96.144
MAP.59441	MAP.59436.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	24.211	96.144
MAP.59442	MAP.59436.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	24.211	96.144
MAP.59443	MAP.59436.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	24.211	96.144
MAP.59444	MAP.59436.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	24.211	96.144
MAP.25446	MAP.25446.collection		man biting indoors	man biting outdoors			1987-07/1987-07	Solomon Islands	GAZ	00005275	-9.4292	160.1457
MAP.59630	MAP.59630.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1999-08/1999-08	Myanmar	GAZ	00006899	20.166	94.933
MAP.59655	MAP.59630.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1999-08/1999-08	Myanmar	GAZ	00006899	20.166	94.933
MAP.27982	MAP.27982.collection		house resting inside				1998-09/1998-09	India	GAZ	00002839	11.397	79.2155
MAP.21954	MAP.21954.collection		man biting indoors	man biting outdoors	indoor light trap	house resting inside	1997-05/1997-08	Viet Nam	GAZ	00003756	12.233	108.983
MAP.21961	MAP.21954.collection		man biting indoors	man biting outdoors	indoor light trap	house resting inside	1997-05/1997-08	Viet Nam	GAZ	00003756	12.233	108.983
MAP.19968	MAP.19968.collection		man biting indoors	indoor light trap			1999-09/1999-09	India	GAZ	00002839	27.5833	95.6833
MAP.21214	MAP.21214.collection		carbon dioxide baited net trap	larval collection			1992-04/1992-05	Papua New Guinea	GAZ	00003922	-5.7816	141.022
MAP.21215	MAP.21214.collection		carbon dioxide baited net trap	larval collection			1992-04/1992-05	Papua New Guinea	GAZ	00003922	-5.7816	141.022
MAP.21216	MAP.21214.collection		carbon dioxide baited net trap	larval collection			1992-04/1992-05	Papua New Guinea	GAZ	00003922	-5.7816	141.022
MAP.21217	MAP.21214.collection		carbon dioxide baited net trap	larval collection			1992-04/1992-05	Papua New Guinea	GAZ	00003922	-5.7816	141.022
MAP.26570	MAP.26570.collection		man biting	animal biting			1987-00/1987-00	Malaysia	GAZ	00003902	3.884	101.382
MAP.59986	MAP.59986.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	16.358	97.736
MAP.59987	MAP.59986.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	16.358	97.736
MAP.59988	MAP.59986.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	16.358	97.736
MAP.59989	MAP.59986.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	16.358	97.736
MAP.59990	MAP.59986.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	16.358	97.736
MAP.59991	MAP.59986.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	16.358	97.736
