Sample Name	Assay Name	Description	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Date	Country	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)	 Characteristics [Collection site longitude (VBcv:0000816)
2631	2631 collection		house resting inside		man biting						1987-05-00/1987-05-00	Sudan	GAZ	00000560	14.3	33.4
2632	2632 collection		house resting inside		man biting						1987-06-00/1987-06-00	Sudan	GAZ	00000560	14.3	33.4
2633	2633 collection		house resting inside		man biting						1987-07-00/1987-07-00	Sudan	GAZ	00000560	14.3	33.4
2634	2634 collection		house resting inside		man biting						1987-08-00/1987-08-00	Sudan	GAZ	00000560	14.3	33.4
2635	2635 collection		house resting inside		man biting						1987-09-00/1987-09-00	Sudan	GAZ	00000560	14.3	33.4
2636	2636 collection		house resting inside		man biting						1987-10-00/1987-10-00	Sudan	GAZ	00000560	14.3	33.4
2650	2650 collection		house resting inside		man biting indoors		man biting outdoors				1986-11-00/1986-11-00	Sudan	GAZ	00000560	13.576	33.567
2651	2651 collection		house resting inside		man biting indoors		man biting outdoors				1986-12-00/1986-12-00	Sudan	GAZ	00000560	13.576	33.567
2652	2652 collection		house resting inside		man biting indoors		man biting outdoors				1987-01-00/1987-01-00	Sudan	GAZ	00000560	13.576	33.567
2653	2653 collection		house resting inside		man biting indoors		man biting outdoors				1987-02-00/1987-02-00	Sudan	GAZ	00000560	13.576	33.567
2654	2654 collection		house resting inside		man biting indoors		man biting outdoors				1987-03-00/1987-03-00	Sudan	GAZ	00000560	13.576	33.567
2655	2655 collection		house resting inside		man biting indoors		man biting outdoors				1987-04-00/1987-04-00	Sudan	GAZ	00000560	13.576	33.567
2656	2656 collection		house resting inside		man biting indoors		man biting outdoors				1987-05-00/1987-05-00	Sudan	GAZ	00000560	13.576	33.567
2657	2657 collection		house resting inside		man biting indoors		man biting outdoors				1987-06-00/1987-06-00	Sudan	GAZ	00000560	13.576	33.567
2658	2658 collection		house resting inside		man biting indoors		man biting outdoors				1987-07-00/1987-07-00	Sudan	GAZ	00000560	13.576	33.567
2659	2659 collection		house resting inside		man biting indoors		man biting outdoors				1987-08-00/1987-08-00	Sudan	GAZ	00000560	13.576	33.567
2660	2660 collection		house resting inside		man biting indoors		man biting outdoors				1987-09-00/1987-09-00	Sudan	GAZ	00000560	13.576	33.567
2661	2661 collection		house resting inside		man biting indoors		man biting outdoors				1987-10-00/1987-10-00	Sudan	GAZ	00000560	13.576	33.567
2662	2662 collection		outlet window trap								1986-11-00/1987-10-00	Sudan	GAZ	00000560	13.576	33.567
2664	2664 collection		man biting		house resting inside						1995-10-00/1995-12-00	Sudan	GAZ	00000560	15.492	32.475
2665	2665 collection		man biting		house resting inside						1996-01-00/1996-04-00	Sudan	GAZ	00000560	15.492	32.475
2666	2666 collection		man biting		house resting inside						1996-05-00/1996-06-00	Sudan	GAZ	00000560	15.492	32.475
2667	2667 collection		man biting		house resting inside						1996-07-00/1996-09-00	Sudan	GAZ	00000560	15.492	32.475
2668	2668 collection		man biting		house resting inside						1996-10-00/1996-12-00	Sudan	GAZ	00000560	15.492	32.475
2669	2669 collection		man biting		house resting inside						1995-10-00/1995-12-00	Sudan	GAZ	00000560	15.598	32.578
2670	2670 collection		man biting		house resting inside						1996-01-00/1996-04-00	Sudan	GAZ	00000560	15.598	32.578
2671	2671 collection		man biting		house resting inside						1996-05-00/1996-06-00	Sudan	GAZ	00000560	15.598	32.578
2672	2672 collection		man biting		house resting inside						1996-07-00/1996-09-00	Sudan	GAZ	00000560	15.598	32.578
2673	2673 collection		man biting		house resting inside						1996-10-00/1996-12-00	Sudan	GAZ	00000560	15.598	32.578
2676	2676 collection		larval collection								1989-01-00/1989-12-00	Sudan	GAZ	00000560	13.189	30.218
2677	2677 collection		house resting inside								1989-01-00/1989-01-00	Sudan	GAZ	00000560	13.189	30.218
2678	2678 collection		house resting inside								1989-02-00/1989-02-00	Sudan	GAZ	00000560	13.189	30.218
2679	2679 collection		house resting inside								1989-03-00/1989-03-00	Sudan	GAZ	00000560	13.189	30.218
