Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Characteristics [species assay result (VBcv:0000961)]	Term Source REF	Term Accession Number	Comment [ASSI]
MAP.77	MAP.77.spid				Anopheles minimus species complex	MIRO	40003537	ODH and PCR found all species were An. minimus A
MAP.78	MAP.78.spid		morphology	Octanol dehydrogenase alloenzyme	Anopheles minimus species complex	MIRO	40003537	ODH and PCR found all species were An. minimus A
MAP.85	MAP.85.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.86	MAP.86.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.87	MAP.87.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.88	MAP.88.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.89	MAP.89.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.90	MAP.90.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.91	MAP.91.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.92	MAP.92.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.93	MAP.93.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
