				Country			IR_Test_Method		Mosquito_collection_Year_start								Locality	Latitude	Longitude		Vector_species				IR_Test_NumExposed						IR_Test_mortality		IR_Mechanism_Status	Kdr_frequency					Chemical_class		Resistance_status	R_code		
REF#	ORIG REF#	ORIG SOURCE	ORIG SOURCE REF	Country	Country code	Investigation type	Test                                           type	Insecticide tested	Year	Start month	End month	Province             1st admin level	District 2nd admin level	District Update	Commune 3rd admin level	Village or Locality (site) ORIG	Village or Locality UPDATED (Co-ordinates)	Latitude UTM_X UPDATE2	Longitude UTM_Y UPDATE2	GEOREF STATUS	Species tested	Stage tested (and origin)	Species used in controls	Number of replicates tested	Total mosquitoes in all test replicates	Number of replicates for control	Total mosquitoes in all controls	Time at which mortality recorded	Recorded average mortality in treatments (%)	Recorded average mortality in controls (%)	Calculated  average mortality adjusted for control  (%)	Resistance status Susceptible:(>=98%) Moderate:(90-98%) High:(<90%)	Mechanism status	Allelic frequency                   (%)	Institute that collected data	Data published in a journal?	Journal reference	Remarks (eg. deviations from standard procedures)	Chemical class, if standard dosage	UPDATED STATUS	Resistance status_IRMapper	Resistance code_IR Mapper	Count	Comments
11255	G8562		PMI1082																																									
10886	G8569		PMI1083																																									
11251	G8568		PMI1080																																									
11277	G9742		PMI1081																																									
13462	G9743		PMI1088																																									
13724	G9740		PMI1089																																									
15876	G9741		PMI875																																									
11271	G9746		PMI874																																									
13726	G9747		PMI877																																									
11095	G9744		PMI876																																									
11273	G9745		PMI871																																									
11780	G9748		PMI870																																									
11781	G9749		PMI873																																									
6088	G9968		PMI872																																									
6089	G9969		PMI879																																									
6086	G10890		PMI878																																									
6087	G10893		PMI758																																									
6084	G10892		PMI2701																																									
6085	G10895		PMI2702																																									
6082	G10894		PMI2704																																									
6083	G10897		PMI2706																																									
6080	G10896		PMI2708																																									
6081	G10899		PMI2615																																									
11726	G10898		PMI1920																																									
13680	G9568		PMI759																																									
11727	G9569		PMI1172																																									
10888	G9562		PMI1173																																									
13413	G9563		PMI1170																																									
13411	G9560		PMI1171																																									
13416	G9561		PMI1176																																									
13417	G9566		PMI1177																																									
13414	G9567		PMI1174																																									
13415	G9564		PMI1175																																									
13418	G9565		PMI1178																																									
13419	G9416		PMI1179																																									
2550	G9417		PMI253																																									
11671	G9414		PMI1374																																									
6398	G9415		PMI1375																																									
6399	G9412		PMI1376																																									
2554	G9413		PMI1377																																									
11675	G9410		PMI1370																																									
11676	G9411		PMI1371																																									
11677	G9418		PMI1372																																									
2558	G9419		PMI1373																																									
11679	G10949		PMI707																																									
6397	G10947		PMI1926																																									
11474	G10945		PMI1378																																									
11475	G10944		PMI1379																																									
11728	G10943		PMI706																																									
11471	G10942		PMI705																																									
15649	G10940		PMI2305																																									
11729	G10146		PMI704																																									
11479	G10029		PMI2638																																									
13644	G11209		PMI2639																																									
9498	G11208		PMI2634																																									
9499	G11203		PMI2635																																									
15644	G11202		PMI2636																																									
9490	G11201		PMI2631																																									
9491	G10140		PMI2632																																									
9492	G11207		PMI2633																																									
9493	G11206		PMI700																																									
9494	G11205		PMI2303																																									
9495	G11204		PMI2113																																									
9496	G10027		PMI2309																																									
9497	G9739		PMI2756																																									
12256	G9738		PMI2528																																									
12255	G10983		PMI2529																																									
14308	G9733		PMI3033																																									
12251	G9732		PMI2865																																									
12259	G10951		PMI3035																																									
12258	G8828		PMI3034																																									
6064	G8829		PMI3037																																									
6065	G8820		PMI3036																																									
6066	G8821		PMI2520																																									
6067	G8822		PMI2521																																									
6060	G8823		PMI2522																																									
6061	G8824		PMI2523																																									
6062	G8825		PMI2524																																									
6063	G8826		PMI2525																																									
9546	G8827		PMI2526																																									
9547	G11153		PMI2527																																									
917	G11152		PMI1950																																									
9545	G11151		PMI1951																																									
6068	G11150		PMI1952																																									
6069	G11157		PMI1953																																									
9540	G11156		PMI1954																																									
9541	G11155		PMI1955																																									
8136	G11154		PMI1956																																									
5129	G11159		PMI1957																																									
5124	G11158		PMI1958																																									
5120	G10158		PMI1959																																									
12208	G10159		PMI2290																																									
5122	G10150		PMI2454																																									
8137	G10151		PMI2455																																									
8899	G10152		PMI2456																																									
8898	G10153		PMI2457																																									
8897	G10154		PMI2450																																									
8896	G10155		PMI2452																																									
8894	G10156		PMI2453																																									
8893	G10157		PMI2458																																									
8892	G8914		PMI2459																																									
8891	G8915		PMI1888																																									
8890	G8916		PMI1889																																									
11928	G8917		PMI1886																																									
11923	G8910		PMI1887																																									
11924	G8911		PMI1884																																									
11925	G8912		PMI1885																																									
11926	G8913		PMI1882																																									
11927	G8918		PMI1883																																									
11814	G8919		PMI1880																																									
11815	G10334		PMI1881																																									
11816	G10335		PMI2040																																									
1039	G10336		PMI2047																																									
11811	G10337		PMI2046																																									
15809	G10330		PMI2045																																									
11813	G10331		PMI1558																																									
15806	G10332		PMI462																																									
15803	G10333		PMI463																																									
11718	G10338		PMI460																																									
8999	G10339		PMI461																																									
14319	G10988		PMI466																																									
14310	G10448		PMI467																																									
1027	G10449		PMI464																																									
1026	G8358		PMI465																																									
1021	G8359		PMI1770																																									
1023	G8356		PMI1771																																									
15914	G8357		PMI468																																									
11868	G8354		PMI469																																									
1205	G8355		PMI1774																																									
1204	G8352		PMI1775																																									
1206	G8353		PMI1776																																									
1203	G8350		PMI1777																																									
5649	G8351		PMI1554																																									
8279	G10200		PMI2163																																									
8278	G10201		PMI1555																																									
8277	G10202		PMI2164																																									
8276	G10203		PMI1556																																									
8275	G10204		PMI1630																																									
8274	G10205		PMI608																																									
8273	G10206		PMI609																																									
8272	G10207		PMI2166																																									
8271	G10208		PMI602																																									
8270	G10209		PMI603																																									
8673	G9179		PMI600																																									
8672	G9178		PMI601																																									
8671	G9175		PMI606																																									
8670	G9174		PMI607																																									
8677	G9177		PMI604																																									
8676	G9176		PMI605																																									
8675	G9171		PMI1419																																									
8674	G9170		PMI1418																																									
1119	G9173		PMI1415																																									
1118	G9172		PMI1414																																									
8679	G9881		PMI1417																																									
8678	G9880		PMI1416																																									
15978	G9883		PMI1411																																									
5735	G9882		PMI1410																																									
8419	G9885		PMI1413																																									
8418	G9884		PMI1412																																									
8413	G9887		PMI2191																																									
8412	G9886		PMI2190																																									
8411	G9889		PMI2193																																									
8410	G9888		PMI2192																																									
8417	G9928		PMI268																																									
8416	G8598		PMI269																																									
8415	G8599		PMI2197																																									
8414	G9929		PMI2196																																									
6468	G8590		PMI264																																									
6469	G8591		PMI265																																									
7588	G8592		PMI266																																									
7584	G8593		PMI267																																									
7585	G8594		PMI260																																									
7586	G8595		PMI261																																									
7587	G8596		PMI262																																									
6464	G8597		PMI263																																									
6465	G8770		PMI116																																									
6466	G8771		PMI117																																									
7583	G8772		PMI114																																									
12089	G8773		PMI115																																									
10859	G8774		PMI112																																									
8307	G8775		PMI113																																									
8306	G8776		PMI110																																									
8305	G8777		PMI111																																									
8304	G8778		PMI118																																									
8303	G8779		PMI119																																									
8302	G9313		PMI286																																									
8301	G9312		PMI287																																									
8300	G9315		PMI284																																									
15463	G9314		PMI285																																									
8309	G9317		PMI282																																									
8308	G9316		PMI283																																									
11269	G8576		PMI280																																									
5655	G8577		PMI281																																									
10878	G8574		PMI288																																									
11263	G8575		PMI289																																									
11262	G8572		PMI1569																																									
11261	G8573		PMI1568																																									
11267	G8570		PMI39																																									
11266	G8571		PMI1561																																									
11265	G9081		PMI1560																																									
5653	G9080		PMI1563																																									
14677	G9083		PMI1562																																									
5650	G9082		PMI1565																																									
14676	G9085		PMI1564																																									
8263	G9084		PMI1567																																									
14675	G8578		PMI1566																																									
14674	G8579		PMI2999																																									
14427	G10982		PMI2998																																									
6099	G9926		PMI2993																																									
6098	G9927		PMI2995																																									
14425	G8684		PMI2994																																									
6091	G8685		PMI2997																																									
6090	G8686		PMI2996																																									
6093	G8687		PMI2296																																									
6092	G8680		PMI2505																																									
6095	G8681		PMI840																																									
6094	G8682		PMI841																																									
6097	G8683		PMI842																																									
6096	G9777		PMI843																																									
14493	G9776		PMI844																																									
10875	G9775		PMI845																																									
14421	G9774		PMI846																																									
10877	G8688		PMI847																																									
14543	G8689		PMI848																																									
14542	G9771		PMI849																																									
6385	G9770		PMI2776																																									
6384	G9557		PMI2864																																									
6387	G9556		PMI2806																																									
6386	G9227		PMI2866																																									
6381	G9554		PMI2861																																									
6380	G9553		PMI2860																																									
6383	G9220		PMI2863																																									
6382	G9223		PMI2862																																									
13427	G9550		PMI2869																																									
13426	G10284		PMI2868																																									
14429	G9229		PMI2739																																									
6388	G9228		PMI2738																																									
13420	G9559		PMI2734																																									
2542	G9558		PMI2737																																									
2546	G9795		PMI2736																																									
2544	G9794		PMI2731																																									
11684	G9797		PMI2730																																									
2548	G9604		PMI2733																																									
11681	G9791		PMI2732																																									
11680	G9790		PMI3058																																									
11683	G9793		PMI1189																																									
11682	G9792		PMI1188																																									
15490	G9351		PMI1187																																									
9489	G10287		PMI1186																																									
9488	G9799		PMI1185																																									
9483	G9798		PMI1184																																									
9482	G9350		PMI1183																																									
9481	G11135		PMI1182																																									
9480	G9601		PMI1181																																									
9487	G11134		PMI1180																																									
9486	G9600		PMI1341																																									
9485	G10272		PMI1340																																									
9484	G10990		PMI1343																																									
12240	G10991		PMI1342																																									
12241	G9423		PMI1345																																									
12242	G9422		PMI1344																																									
12243	G9421		PMI1347																																									
12244	G9420		PMI1346																																									
12245	G9427		PMI1349																																									
12246	G9426		PMI1348																																									
12248	G9425		PMI1602																																									
11619	G9424		PMI2609																																									
6077	G9429		PMI2608																																									
6076	G9428		PMI2297																																									
6075	G10938		PMI2601																																									
6074	G10939		PMI2600																																									
6073	G10932		PMI2603																																									
6072	G10933		PMI2602																																									
6071	G10930		PMI2605																																									
6070	G10931		PMI2604																																									
9551	G10936		PMI2607																																									
9550	G10937		PMI2606																																									
9553	G10934		PMI486																																									
9552	G10985		PMI487																																									
9555	G11211		PMI2124																																									
9554	G10984		PMI488																																									
6079	G10846		PMI489																																									
6078	G10847		PMI939																																									
12150	G10842		PMI2125																																									
12062	G10843		PMI2515																																									
5139	G10840		PMI2514																																									
13431	G10841		PMI2517																																									
5137	G10451		PMI2516																																									
5135	G10450		PMI2511																																									
5133	G10453		PMI717																																									
5131	G10452		PMI2513																																									
11495	G10455		PMI2512																																									
12064	G10454		PMI2519																																									
8904	G11092		PMI2518																																									
10242	G11093		PMI3028																																									
10243	G11090		PMI3029																																									
10240	G11091		PMI3026																																									
10241	G11096		PMI2126																																									
10244	G10457		PMI3024																																									
10245	G11094		PMI3025																																									
11322	G11095		PMI3022																																									
11323	G11098		PMI3023																																									
8934	G10456		PMI3020																																									
8935	G11302		PMI3021																																									
8936	G11303		PMI1969																																									
8937	G11300		PMI1968																																									
8930	G11301		PMI1872																																									
8931	G11306		PMI1965																																									
8932	G11307		PMI1964																																									
8933	G11304		PMI1967																																									
11869	G11305		PMI1966																																									
5887	G11308		PMI1961																																									
8902	G11309		PMI1960																																									
8938	G10147		PMI1963																																									
8939	G9856		PMI1962																																									
5886	G10145		PMI1870																																									
5885	G10144		PMI2461																																									
5884	G10143		PMI2463																																									
12066	G10142		PMI2462																																									
15781	G10141		PMI1635																																									
14499	G9857		PMI2464																																									
12000	G9854		PMI2467																																									
14361	G10149		PMI2466																																									
14490	G10148		PMI2469																																									
11328	G9855		PMI2468																																									
14367	G9852		PMI1874																																									
5357	G9853		PMI2292																																									
1051	G9851		PMI2014																																									
1052	G8961		PMI1745																																									
1053	G8960		PMI1744																																									
1054	G8963		PMI1747																																									
1055	G8962		PMI1746																																									
1056	G8965		PMI1741																																									
1057	G8964		PMI1740																																									
1058	G8967		PMI1743																																									
1059	G8966		PMI1742																																									
5359	G8969		PMI2013																																									
5358	G8968		PMI1749																																									
11047	G10323		PMI1748																																									
11046	G10322		PMI471																																									
8248	G10321		PMI470																																									
8249	G10320		PMI473																																									
11043	G10327		PMI472																																									
11042	G10326		PMI475																																									
11041	G10325		PMI474																																									
11040	G10324		PMI477																																									
8243	G10329		PMI476																																									
8246	G10328		PMI479																																									
8247	G10459		PMI478																																									
8244	G10458		PMI2298																																									
8245	G8369		PMI2299																																									
9400	G8368		PMI1989																																									
5722	G8363		PMI1988																																									
15964	G8362		PMI619																																									
8648	G8361		PMI618																																									
8649	G8360		PMI2008																																									
8646	G8367		PMI611																																									
8647	G8366		PMI610																																									
8644	G8365		PMI613																																									
8645	G8364		PMI612																																									
8642	G10865		PMI615																																									
8643	G11119		PMI614																																									
8640	G10604		PMI617																																									
8641	G10606		PMI616																																									
8426	G10355		PMI435																																									
8427	G10219		PMI1408																																									
8424	G10218		PMI1409																																									
8425	G10217		PMI434																																									
8422	G10216		PMI1402																																									
8423	G10215		PMI1403																																									
8420	G10214		PMI1400																																									
8421	G10213		PMI1401																																									
6411	G10212		PMI1406																																									
8428	G10211		PMI437																																									
8429	G10210		PMI1404																																									
5740	G10998		PMI1405																																									
5741	G10602		PMI436																																									
5742	G9168		PMI431																																									
5743	G9169		PMI430																																									
5744	G9166		PMI279																																									
5745	G9167		PMI278																																									
5746	G9164		PMI433																																									
11301	G9165		PMI2188																																									
6412	G9162		PMI2189																																									
11304	G9163		PMI273																																									
11305	G9160		PMI272																																									
5586	G9161		PMI271																																									
5587	G9892		PMI270																																									
6479	G9893		PMI277																																									
6478	G9890		PMI276																																									
5582	G9891		PMI275																																									
5580	G9896		PMI274																																									
5581	G9897		PMI105																																									
6473	G9894		PMI104																																									
6472	G9895		PMI107																																									
6471	G9898		PMI106																																									
6470	G9899		PMI101																																									
7593	G10999		PMI100																																									
6476	G10608		PMI103																																									
7591	G10901		PMI102																																									
6474	G9459		PMI2879																																									
15976	G9308		PMI108																																									
8332	G9309		PMI295																																									
8333	G8789		PMI294																																									
8330	G8788		PMI297																																									
8331	G8785		PMI296																																									
8336	G8784		PMI291																																									
8337	G8787		PMI290																																									
8334	G8786		PMI293																																									
8335	G8781		PMI292																																									
13683	G8780		PMI299																																									
13682	G8783		PMI298																																									
8338	G8782		PMI1578																																									
8339	G8543		PMI1579																																									
11278	G8542		PMI2987																																									
13686	G9098		PMI2984																																									
13685	G9099		PMI2985																																									
13684	G8547		PMI2982																																									
13687	G8546		PMI2983																																									
15974	G8545		PMI2277																																									
13626	G8544		PMI938																																									
16099	G9092		PMI859																																									
16091	G9093		PMI858																																									
8503	G9090		PMI857																																									
16095	G9091		PMI856																																									
16097	G9096		PMI855																																									
13755	G9097		PMI854																																									
13754	G9094		PMI853																																									
13756	G9095		PMI852																																									
13751	G10908		PMI851																																									
13753	G9768		PMI850																																									
13752	G9769		PMI2872																																									
16049	G9948		PMI2873																																									
5968	G9949		PMI2870																																									
5969	G9760		PMI2871																																									
5960	G9761		PMI2876																																									
5961	G9762		PMI2877																																									
10873	G9763		PMI2874																																									
5964	G9764		PMI2875																																									
5965	G9765		PMI1529																																									
5966	G9766		PMI2878																																									
5967	G9767		PMI2002																																									
15852	G9236		PMI1528																																									
12113	G9237		PMI2728																																									
13438	G9542		PMI2729																																									
13439	G9235		PMI2723																																									
13430	G9232		PMI2721																																									
12139	G9233		PMI2727																																									
13432	G9230		PMI2725																																									
13433	G9231		PMI1525																																									
13434	G9548		PMI1524																																									
13435	G9549		PMI932																																									
13436	G9238		PMI770																																									
13437	G9239		PMI933																																									
2578	G9786		PMI1198																																									
2576	G9787		PMI1199																																									
2574	G9784		PMI1194																																									
2572	G9785		PMI1195																																									
2570	G9782		PMI1196																																									
10905	G9783		PMI1197																																									
10907	G9780		PMI1190																																									
10906	G9781		PMI1191																																									
15970	G9788		PMI1192																																									
10909	G9789		PMI1193																																									
10908	G9438		PMI1523																																									
2594	G9439		PMI1358																																									
2595	G9434		PMI1359																																									
2597	G9435		PMI1356																																									
2590	G9436		PMI1357																																									
2592	G9437		PMI1354																																									
8232	G9430		PMI1355																																									
2599	G9431		PMI1352																																									
977	G9432		PMI1353																																									
976	G9433		PMI1350																																									
975	G10929		PMI1351																																									
974	G10928		PMI2616																																									
973	G10920		PMI2617																																									
972	G10923		PMI2614																																									
971	G10922		PMI2131																																									
970	G10925		PMI2612																																									
9401	G10924		PMI2613																																									
978	G10927		PMI2610																																									
6042	G10926		PMI2611																																									
6043	G8698		PMI2618																																									
6040	G10855		PMI2619																																									
6041	G10854		PMI2218																																									
6046	G10857		PMI2502																																									
6047	G10856		PMI2212																																									
6044	G10850		PMI2500																																									
6045	G10853		PMI2501																																									
11627	G10852		PMI2506																																									
6048	G10859		PMI2507																																									
6049	G10858		PMI2504																																									
11625	G10993		PMI2213																																									
9582	G11081		PMI2508																																									
9583	G11080		PMI2509																																									
5108	G11083		PMI2210																																									
9581	G11082		PMI3059																																									
9586	G11085		PMI1904																																									
9587	G11084		PMI3053																																									
9584	G11087		PMI2216																																									
9585	G11086		PMI3051																																									
5102	G11089		PMI3050																																									
5103	G11088		PMI3057																																									
5100	G11311		PMI3056																																									
5101	G11310		PMI3055																																									
5106	G11313		PMI2217																																									
5104	G11312		PMI2214																																									
14325	G11315		PMI2215																																									
9408	G11314		PMI1978																																									
14324	G11317		PMI1979																																									
12136	G11316		PMI1972																																									
12137	G11319		PMI1973																																									
14326	G11318		PMI1970																																									
14321	G11145		PMI1971																																									
14320	G11146		PMI1976																																									
12075	G11147		PMI1977																																									
14323	G10133		PMI1974																																									
14322	G10130		PMI1975																																									
11253	G10131		PMI2130																																									
15458	G10136		PMI2853																																									
12092	G10137		PMI2478																																									
8927	G10134		PMI2479																																									
8926	G10135		PMI2476																																									
8925	G10138		PMI2477																																									
8924	G10139		PMI2474																																									
8923	G8692		PMI2475																																									
8922	G8972		PMI2473																																									
8921	G8973		PMI2470																																									
8920	G8970		PMI2471																																									
11622	G8971		PMI2134																																									
11879	G8976		PMI3089																																									
8929	G8977		PMI2133																																									
8928	G8974		PMI3087																																									
14484	G8975		PMI2132																																									
14486	G8978		PMI598																																									
14481	G8979		PMI599																																									
14482	G10688		PMI592																																									
14694	G10689		PMI593																																									
14489	G10684		PMI590																																									
13725	G10685		PMI591																																									
15779	G10687		PMI596																																									
14373	G10680		PMI597																																									
14370	G10682		PMI594																																									
14376	G10683		PMI595																																									
14374	G9302		PMI1752																																									
1047	G10048		PMI1750																																									
1049	G9303		PMI1751																																									
1048	G10046		PMI2069																																									
9580	G10047		PMI1757																																									
15916	G10044		PMI2065																																									
8255	G10045		PMI2064																																									
8254	G10042		PMI2067																																									
8251	G9300		PMI1759																																									
8250	G10040		PMI2063																																									
8253	G10041		PMI2062																																									
8252	G10666		PMI1994																																									
660	G10667		PMI1995																																									
11050	G10664		PMI1996																																									
11051	G9301		PMI1997																																									
14573	G10662		PMI448																																									
14576	G10663		PMI449																																									
11057	G10660		PMI1992																																									
11058	G10661		PMI1993																																									
11059	G9306		PMI444																																									
9588	G11068		PMI445																																									
15689	G10668		PMI446																																									
15688	G9307		PMI447																																									
9589	G10975		PMI440																																									
7614	G9304		PMI441																																									
15680	G9305		PMI442																																									
15683	G10598		PMI443																																									
15682	G10599		PMI1557																																									
15685	G10268		PMI1550																																									
15684	G8540		PMI1551																																									
7612	G10262		PMI130																																									
7613	G10263		PMI131																																									
15999	G10592		PMI132																																									
8651	G10593		PMI133																																									
8650	G10266		PMI135																																									
8653	G10267		PMI136																																									
8652	G10264		PMI137																																									
8655	G10265		PMI138																																									
8654	G9159		PMI139																																									
8657	G9158		PMI14																																									
8656	G9153		PMI15																																									
8431	G9152		PMI16																																									
8430	G9151		PMI17																																									
8433	G9150		PMI10																																									
8432	G9157		PMI11																																									
8435	G9156		PMI12																																									
8434	G9155		PMI13																																									
8437	G9154		PMI916																																									
8436	G10979		PMI917																																									
8439	G8549		PMI914																																									
8438	G8548		PMI915																																									
15425	G8374		PMI18																																									
15424	G8375		PMI19																																									
6442	G8376		PMI910																																									
6443	G8377		PMI911																																									
6440	G8370		PMI624																																									
6441	G8371		PMI625																																									
6448	G8372		PMI626																																									
6449	G8373		PMI627																																									
13695	G8378		PMI620																																									
11865	G8379		PMI621																																									
13697	G9827		PMI622																																									
13690	G8798		PMI623																																									
11782	G8799		PMI628																																									
13692	G8796		PMI629																																									
8517	G8797		PMI2089																																									
13698	G8794		PMI2068																																									
8514	G8795		PMI2265																																									
12077	G8792		PMI828																																									
8515	G8793		PMI829																																									
8329	G8790		PMI1219																																									
8328	G8791		PMI1218																																									
11207	G9824		PMI822																																									
8325	G8558		PMI823																																									
8324	G8559		PMI1215																																									
8327	G8554		PMI821																																									
8326	G8555		PMI826																																									
8321	G8556		PMI827																																									
8320	G8557		PMI1211																																									
8323	G8550		PMI1210																																									
8322	G8551		PMI2108																																									
12073	G8552		PMI2889																																									
13637	G8553		PMI2888																																									
16089	G9821		PMI2887																																									
16083	G9820		PMI2886																																									
16081	G9939		PMI2885																																									
16087	G9938		PMI2884																																									
16085	G9931		PMI2883																																									
13746	G9930		PMI2882																																									
8286	G9933		PMI2881																																									
13744	G9932		PMI2880																																									
13745	G9935		PMI2263																																									
13742	G9934		PMI1619																																									
13743	G9937		PMI1618																																									
8287	G9936		PMI1990																																									
15991	G9202		PMI1991																																									
13631	G9201		PMI2269																																									
8284	G9200		PMI2262																																									
5979	G9207		PMI2268																																									
5978	G9206		PMI2267																																									
5973	G9205		PMI1329																																									
5972	G9204		PMI1328																																									
5971	G9209		PMI2266																																									
5970	G9208		PMI1323																																									
5977	G9337		PMI1322																																									
5976	G9336		PMI1321																																									
5975	G9335		PMI1320																																									
5974	G9334		PMI1327																																									
10210	G9333		PMI1326																																									
15409	G9332		PMI1325																																									
2568	G9331		PMI1324																																									
8124	G9330		PMI2663																																									
15954	G9339		PMI2662																																									
8123	G9338		PMI2661																																									
2562	G9449		PMI2264																																									
8122	G9448		PMI2667																																									
13699	G10916		PMI2261																																									
10917	G10917		PMI2665																																									
10914	G10910		PMI2664																																									
10912	G10912		PMI1617																																									
8693	G9945		PMI2668																																									
10910	G9441		PMI1999																																									
8120	G9440		PMI1615																																									
10919	G9443		PMI1614																																									
2586	G9442		PMI2260																																									
2584	G9445		PMI1037																																									
2582	G9444		PMI1036																																									
2580	G9447		PMI1035																																									
11001	G9446		PMI1034																																									
2588	G9947		PMI1033																																									
14520	G9940		PMI1032																																									
13597	G9941		PMI1031																																									
13596	G9942		PMI1030																																									
13595	G9943		PMI1039																																									
13594	G9540		PMI1038																																									
13593	G9541		PMI3031																																									
7700	G9234		PMI3030																																									
13591	G9543		PMI3032																																									
13590	G9544		PMI3048																																									
7701	G11176		PMI3049																																									
969	G9545		PMI3040																																									
13599	G10860		PMI3041																																									
13598	G10861		PMI3042																																									
11730	G10862		PMI3043																																									
6055	G10863		PMI3044																																									
6054	G10864		PMI3045																																									
6051	G9546		PMI3046																																									
6050	G10866		PMI3047																																									
6053	G10867		PMI3039																																									
6052	G10868		PMI3038																																									
5114	G10869		PMI3109																																									
5110	G9547		PMI3108																																									
5112	G11173		PMI3105																																									
5118	G11237		PMI3104																																									
9599	G8716		PMI3107																																									
9598	G10302		PMI3106																																									
9595	G11328		PMI3101																																									
9594	G11329		PMI3100																																									
9597	G9628		PMI3103																																									
9596	G11324		PMI3102																																									
9591	G11325		PMI2409																																									
9590	G11326		PMI2403																																									
9593	G11327		PMI2402																																									
9592	G11320		PMI2400																																									
12086	G11321		PMI2406																																									
12087	G11322		PMI2405																																									
11999	G11323		PMI2404																																									
11991	G11239		PMI215																																									
11994	G10121		PMI214																																									
8912	G10120		PMI961																																									
8913	G10123		PMI1693																																									
8910	G10122		PMI1692																																									
8911	G10125		PMI1691																																									
8916	G10124		PMI744																																									
8917	G10127		PMI1697																																									
8914	G10126		PMI1696																																									
8915	G10129		PMI1695																																									
8918	G10128		PMI1694																																									
8919	G11182		PMI211																																									
14347	G11183		PMI1699																																									
14344	G11185		PMI1698																																									
14343	G11186		PMI210																																									
14340	G11187		PMI213																																									
10898	G10437		PMI964																																									
11873	G9627		PMI2317																																									
1076	G10436		PMI2316																																									
1077	G9626		PMI2315																																									
1074	G10435		PMI2314																																									
