Sample Name	Assay Name	Description	Protocol REF	Performer	Date	Characteristics [species assay result (VBcv:0000961)]	Term Source Ref	Term Accession Number
PMI223	PMI.species.PMI223		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI224	PMI.species.PMI224		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI225	PMI.species.PMI225		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI227	PMI.species.PMI227		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI229	PMI.species.PMI229		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI231	PMI.species.PMI231		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI233	PMI.species.PMI233		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI234	PMI.species.PMI234		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI235	PMI.species.PMI235		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI236	PMI.species.PMI236		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI237	PMI.species.PMI237		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI238	PMI.species.PMI238		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI239	PMI.species.PMI239		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI240	PMI.species.PMI240		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI241	PMI.species.PMI241		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI242	PMI.species.PMI242		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI243	PMI.species.PMI243		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI244	PMI.species.PMI244		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI245	PMI.species.PMI245		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI246	PMI.species.PMI246		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI247	PMI.species.PMI247		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI248	PMI.species.PMI248		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI249	PMI.species.PMI249		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI250	PMI.species.PMI250		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI251	PMI.species.PMI251		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI252	PMI.species.PMI252		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI253	PMI.species.PMI253		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI254	PMI.species.PMI254		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI255	PMI.species.PMI255		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI256	PMI.species.PMI256		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI257	PMI.species.PMI257		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI258	PMI.species.PMI258		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI259	PMI.species.PMI259		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI260	PMI.species.PMI260		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
