Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.8161	MAP.8159.collection		house resting inside	outside shelter artificial	larval collection		1986-09/1986-10	Tanzania	GAZ	00001103	-4.2833	35.6167
MAP.7425	MAP.7425.collection		man biting indoors				2000-05/2000-05	Cameroon	GAZ	00001093	3.816	11.483
MAP.7443	MAP.7425.collection		man biting indoors				2000-05/2000-05	Cameroon	GAZ	00001093	3.816	11.483
MAP.7464	MAP.7425.collection		man biting indoors				2000-05/2000-05	Cameroon	GAZ	00001093	3.816	11.483
MAP.30125	MAP.30125.collection		man biting indoors	man biting outdoors			2000-07/2000-07	Côte d'Ivoire	GAZ	00000906	8.617	-3.934
MAP.30135	MAP.30125.collection		man biting indoors	man biting outdoors			2000-07/2000-07	Côte d'Ivoire	GAZ	00000906	8.617	-3.934
MAP.30266	MAP.30266.collection		house resting inside				2004-06/2004-06	Kenya	GAZ	00001101	0.15	34.75
MAP.30267	MAP.30266.collection		house resting inside				2004-06/2004-06	Kenya	GAZ	00001101	0.15	34.75
MAP.30268	MAP.30266.collection		house resting inside				2004-06/2004-06	Kenya	GAZ	00001101	0.15	34.75
MAP.50983	MAP.50983.collection		larval collection				2006-10/2006-11	Cameroon	GAZ	00001093	4.164	11.532
MAP.64566	MAP.64566.collection		house resting inside				1998-06/1998-06	Kenya	GAZ	00001101	-0.5693	34.102
MAP.5936	MAP.5936.collection		man biting indoors	man biting outdoors			1994-12/1994-12	Gabon	GAZ	00001092	-1.633	13.466
MAP.5961	MAP.5936.collection		man biting indoors	man biting outdoors			1994-12/1994-12	Gabon	GAZ	00001092	-1.633	13.466
MAP.6007	MAP.5936.collection		man biting indoors	man biting outdoors			1994-12/1994-12	Gabon	GAZ	00001092	-1.633	13.466
MAP.6765	MAP.6765.collection		larval collection				1985-01/1985-01	Tanzania	GAZ	00001103	-8.09	36.721
MAP.6868	MAP.6868.collection		man biting indoors	man biting outdoors	house resting inside		1992-02/1993-06	Kenya	GAZ	00001101	-3.554	39.837
MAP.45121	MAP.45121.collection		outlet window trap				2005-09/2005-11	Equatorial Guinea	GAZ	00001091	3.7	8.917
MAP.45123	MAP.45121.collection		outlet window trap				2005-09/2005-11	Equatorial Guinea	GAZ	00001091	3.7	8.917
MAP.45125	MAP.45121.collection		outlet window trap				2005-09/2005-11	Equatorial Guinea	GAZ	00001091	3.7	8.917
MAP.35771	MAP.35771.collection							Sudan	GAZ	00000560	15.58	32.523
MAP.30841	MAP.30841.collection		house resting inside	animal shed resting	larval collection		1994-03/1994-08	Yemen	GAZ	00005284	14.333	43.299
MAP.3551	MAP.3551.collection		house resting inside				1999-10/1999-10	Burkina Faso	GAZ	00000905	12.3166	-1.15
MAP.31638	MAP.31638.collection						1996-04/1996-04	Tanzania	GAZ	00001103	-8.233	36.166
MAP.5798	MAP.5798.collection		indoor light trap				1990-01/1991-12	Tanzania	GAZ	00001103	-8.1667	36.6333
MAP.6551	MAP.5798.collection		indoor light trap				1990-01/1991-12	Tanzania	GAZ	00001103	-8.1667	36.6333
MAP.12308	MAP.12308.collection		house resting inside				1984-03/1984-03	Burundi	GAZ	00001090	-3.185	29.3
MAP.12326	MAP.12308.collection		house resting inside				1984-03/1984-03	Burundi	GAZ	00001090	-3.185	29.3
MAP.5581	MAP.5581.collection		man biting indoors	man biting outdoors			1992-11/1992-11	Burundi	GAZ	00001090	-4.362	29.653
MAP.5588	MAP.5581.collection		man biting indoors	man biting outdoors			1992-11/1992-11	Burundi	GAZ	00001090	-4.362	29.653
MAP.53281	MAP.53281.collection		man biting indoors	man biting outdoors	outside shelter artificial	house resting inside	2004-09/2004-09	Madagascar	GAZ	00001108	-19.243	46.2727
MAP.53293	MAP.53281.collection		man biting indoors	man biting outdoors	outside shelter artificial	house resting inside	2004-09/2004-09	Madagascar	GAZ	00001108	-19.243	46.2727
MAP.64492	MAP.64492.collection		house resting inside				1997-06/1997-06	Kenya	GAZ	00001101	-0.6703	34.2038
MAP.11648	MAP.11648.collection		man biting indoors	man biting outdoors	house resting inside		1987-06/1988-04	Kenya	GAZ	00001101	-0.1167	34.3833
MAP.61911	MAP.61911.collection		outlet window trap				2006-12/2007-07	Equatorial Guinea	GAZ	00001091	1.862	9.793
MAP.41506	MAP.41506.collection		larval collection					Madagascar	GAZ	00001108	-20.5983	46.3233
MAP.41534	MAP.41534.collection		man biting indoors	man biting outdoors	outside shelter artificial		2002-10/2003-01	Madagascar	GAZ	00001108	-19.2333	46.2667
MAP.41535	MAP.41534.collection		man biting indoors	man biting outdoors	outside shelter artificial		2002-10/2003-01	Madagascar	GAZ	00001108	-19.2333	46.2667
MAP.41536	MAP.41534.collection		man biting indoors	man biting outdoors	outside shelter artificial		2002-10/2003-01	Madagascar	GAZ	00001108	-19.2333	46.2667
MAP.11992	MAP.11992.collection		house resting inside				1974-12/1974-12	Nigeria	GAZ	00000912	10.499	7.432
MAP.12000	MAP.11992.collection		house resting inside				1974-12/1974-12	Nigeria	GAZ	00000912	10.499	7.432
MAP.45804	MAP.45804.collection		larval collection				2005-04/2005-06	Kenya	GAZ	00001101	-0.329	34.32
MAP.42434	MAP.42434.collection						1996-00/1996-00	Mali	GAZ	00000584	11.7	-8.2833
MAP.42435	MAP.42434.collection						1996-00/1996-00	Mali	GAZ	00000584	11.7	-8.2833
MAP.28518	MAP.28518.collection		man biting indoors	house resting inside			1993-03/1993-03	Madagascar	GAZ	00001108	-18.316	47.118
MAP.45002	MAP.45002.collection		house resting inside					Cameroon	GAZ	00001093	3.816	11.483
MAP.28901	MAP.28901.collection		man biting indoors	man biting outdoors			1989-02/1989-02	Madagascar	GAZ	00001108	-19	47.4167
MAP.11344	MAP.11344.collection		house resting inside				2003-10/2003-10	Kenya	GAZ	00001101	0.167	34.7483
MAP.61993	MAP.61993.collection		house resting inside	man biting indoors			2005-07/2005-09	Niger	GAZ	00000585	13.435	2.916
MAP.61996	MAP.61993.collection		house resting inside	man biting indoors			2005-07/2005-09	Niger	GAZ	00000585	13.435	2.916
MAP.62253	MAP.62253.collection		house resting inside				2000-03/2002-07	Mozambique	GAZ	00001100	-25.732	32.682
MAP.5570	MAP.5570.collection		man biting indoors	man biting outdoors			1993-07/1993-09	Burundi	GAZ	00001090	-4.321	29.601
MAP.5577	MAP.5570.collection		man biting indoors	man biting outdoors			1993-07/1993-09	Burundi	GAZ	00001090	-4.321	29.601
MAP.30057	MAP.30057.collection		house resting inside	outdoor light trap			2004-04/2004-04	Kenya	GAZ	00001101	-0.6981	37.3446
MAP.41108	MAP.41108.collection		house resting inside	man biting indoors	man biting outdoors		1995-08/1995-08	Mali	GAZ	00000584	14.167	-6.134
MAP.29013	MAP.29013.collection		house resting inside				1994-04/1998-11	Senegal	GAZ	00000913	12.555	-12.174
MAP.6787	MAP.6787.collection		larval collection				1985-03/1985-03	Tanzania	GAZ	00001103	-8.049	36.726
MAP.7020	MAP.7020.collection		man biting indoors				1986-10/1986-10	Kenya	GAZ	00001101	-0.0667	34.6667
MAP.3540	MAP.3540.collection		man biting indoors				1996-07/1996-07	Côte d'Ivoire	GAZ	00000906	5.95	-7.469
MAP.3546	MAP.3540.collection		man biting indoors				1996-07/1996-07	Côte d'Ivoire	GAZ	00000906	5.95	-7.469
MAP.8664	MAP.8664.collection		house resting inside				1995-04/1995-05	Ghana	GAZ	00000908	5.4167	-0.6167
MAP.35826	MAP.35826.collection		house resting inside				1986-01/1986-01	Kenya	GAZ	00001101	-0.0667	34.6667
MAP.12206	MAP.12206.collection		house resting inside	man biting			1998-12/2000-02	Cameroon	GAZ	00001093	4.509	12.034
MAP.12207	MAP.12206.collection		house resting inside	man biting			1998-12/2000-02	Cameroon	GAZ	00001093	4.509	12.034
MAP.12208	MAP.12206.collection		house resting inside	man biting			1998-12/2000-02	Cameroon	GAZ	00001093	4.509	12.034
MAP.3608	MAP.3608.collection		house resting inside	man biting indoors	man biting outdoors		1991-05/1991-05	Madagascar	GAZ	00001108	-18.418	47.699
MAP.3609	MAP.3608.collection		house resting inside	man biting indoors	man biting outdoors		1991-05/1991-05	Madagascar	GAZ	00001108	-18.418	47.699
MAP.52967	MAP.52967.collection		larval collection				1985-01/1986-12	Sudan	GAZ	00000560	15.617	32.599
MAP.53311	MAP.53311.collection		man biting indoors	man biting outdoors	outside shelter artificial	house resting inside	2004-03/2004-03	Madagascar	GAZ	00001108	-19.133	46.349
MAP.53323	MAP.53311.collection		man biting indoors	man biting outdoors	outside shelter artificial	house resting inside	2004-03/2004-03	Madagascar	GAZ	00001108	-19.133	46.349
MAP.28307	MAP.28307.collection		larval collection				1999-03/1999-03	Burkina Faso	GAZ	00000905	11.38	-4.43
MAP.28312	MAP.28307.collection		larval collection				1999-03/1999-03	Burkina Faso	GAZ	00000905	11.38	-4.43
MAP.45815	MAP.45815.collection		larval collection				2005-04/2005-06	Kenya	GAZ	00001101	-0.183	34.916
MAP.31849	MAP.31849.collection				resting outdoors		1998-03/1998-05	Sao Tome and Principe	GAZ	00006927	0.338	6.7261
