Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.30400	MAP.30400.collection		man biting				2001-09/2001-09	Brazil	GAZ	00002828	2.7958	-60.6837
MAP.64155	MAP.64155.collection		carbon dioxide baited net trap				2003-04/2003-04	Argentina	GAZ	00002928	-23.1	-64.5
MAP.14007	MAP.14007.collection		man biting outdoors				1996-05/1996-05	Brazil	GAZ	00002828	-8.8167	-63.9
MAP.14705	MAP.14705.collection		larval collection				1994-05/1994-05	Belize	GAZ	00002934	18.459	-88.431
MAP.14961	MAP.14961.collection		man biting outdoors	man biting indoors	house resting inside		1990-08/1990-08	Mexico	GAZ	00002852	15.6667	-93.4
MAP.35654	MAP.35654.collection							United States of America	GAZ	00002459	39.145	-121.593
MAP.13598	MAP.13598.collection		man biting	animal biting			1994-01/1998-12	Brazil	GAZ	00002828	-1.939	-61.358
MAP.13599	MAP.13598.collection		man biting	animal biting			1994-01/1998-12	Brazil	GAZ	00002828	-1.939	-61.358
MAP.13601	MAP.13598.collection		man biting	animal biting			1994-01/1998-12	Brazil	GAZ	00002828	-1.939	-61.358
MAP.13393	MAP.13393.collection		man biting outdoors				2000-03/2000-03	Brazil	GAZ	00002828	0.0333	-51.25
MAP.13401	MAP.13393.collection		man biting outdoors				2000-03/2000-03	Brazil	GAZ	00002828	0.0333	-51.25
MAP.13409	MAP.13393.collection		man biting outdoors				2000-03/2000-03	Brazil	GAZ	00002828	0.0333	-51.25
MAP.15861	MAP.15861.collection		man biting indoors	man biting outdoors			1988-02/1988-02	Mexico	GAZ	00002852	14.817	-92.485
MAP.29511	MAP.29511.collection		man biting indoors	man biting outdoors			1986-12/1986-12	Haiti	GAZ	00003953	18.434	-72.685
MAP.15656	MAP.15656.collection		indoor light trap				1989-09/1989-09	Venezuala	GAZ	00002931	7.468	-71.651
MAP.13751	MAP.13751.collection		larval collection				1990-00/1996-00	Brazil	GAZ	00002828	-15.01	-59.948
MAP.51207	MAP.51207.collection		larval collection				1990-09/1990-09	Belize	GAZ	00002934	17	-88.3833
MAP.51210	MAP.51207.collection		larval collection				1990-09/1990-09	Belize	GAZ	00002934	17	-88.3833
MAP.51211	MAP.51207.collection		larval collection				1990-09/1990-09	Belize	GAZ	00002934	17	-88.3833
MAP.51212	MAP.51207.collection		larval collection				1990-09/1990-09	Belize	GAZ	00002934	17	-88.3833
MAP.51215	MAP.51207.collection		larval collection				1990-09/1990-09	Belize	GAZ	00002934	17	-88.3833
MAP.51216	MAP.51207.collection		larval collection				1990-09/1990-09	Belize	GAZ	00002934	17	-88.3833
