id	latitude	longitude	country id	species	year start	year end	month start	month end	id method1	id method2	sample method1	sample method2	sample method3	sample method4	ASSI	citation
5106	3.816	-77.001	COL	"Anopheles (Nyssorhynchus) albimanus Wiedemann, 1820"	1994	1994	9	9	morphology		larval collection					"González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58"
5107	3.816	-77.001	COL	"Anopheles (Nyssorhynchus) albimanus Wiedemann, 1820"	1995	1995	1	1	morphology		larval collection					"González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58"
5108	3.816	-77.001	COL	"Anopheles (Nyssorhynchus) albimanus Wiedemann, 1820"	1995	1995	9	9	morphology		larval collection					"González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58"
5109	3.816	-77.001	COL	"Anopheles (Nyssorhynchus) albimanus Wiedemann, 1820"	1993	1995	9	11	morphology		man biting					"González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58"
5110	6.683	-77.501	COL	"Anopheles (Nyssorhynchus) albimanus Wiedemann, 1820"					not applicable		unknown					"Rojas, W., Peñaranda, F. and Echavarría, M. (1992).  <b>Strategies for malaria control in Colombia.</b> <i>Parasitology Today</i>, <b>8</b>(4):141-4"
5111	14.086	-91.147	GTM	"Anopheles (Nyssorhynchus) albimanus Wiedemann, 1820"	1998	1998	3	5			unknown					"Blanco Castro, S.D., Martínez Arias, A., Cano Velásquez, O.R., Tello Granados, R. and Mendoza, I. (2000).  <b>[Introduction of <i>Bacillus sphaericus</i> strain-2362 (GRISELESF) for biological control of malaria vectors in Guatemala].</b> <i>Revista Cubana de Medicina Tropical</i>, <b>52</b>(1):37-43"
5112	14.278	-91.364	GTM	"Anopheles (Nyssorhynchus) albimanus Wiedemann, 1820"	1998	1998	3	5			unknown					"Blanco Castro, S.D., Martínez Arias, A., Cano Velásquez, O.R., Tello Granados, R. and Mendoza, I. (2000).  <b>[Introduction of <i>Bacillus sphaericus</i> strain-2362 (GRISELESF) for biological control of malaria vectors in Guatemala].</b> <i>Revista Cubana de Medicina Tropical</i>, <b>52</b>(1):37-43"
5113	14.2	-91.301	GTM	"Anopheles (Nyssorhynchus) albimanus Wiedemann, 1820"	1998	1998	3	5			unknown					"Blanco Castro, S.D., Martínez Arias, A., Cano Velásquez, O.R., Tello Granados, R. and Mendoza, I. (2000).  <b>[Introduction of <i>Bacillus sphaericus</i> strain-2362 (GRISELESF) for biological control of malaria vectors in Guatemala].</b> <i>Revista Cubana de Medicina Tropical</i>, <b>52</b>(1):37-43"
5114	14.2	-90.85	GTM	"Anopheles (Nyssorhynchus) albimanus Wiedemann, 1820"	1998	1998	3	5			unknown					"Blanco Castro, S.D., Martínez Arias, A., Cano Velásquez, O.R., Tello Granados, R. and Mendoza, I. (2000).  <b>[Introduction of <i>Bacillus sphaericus</i> strain-2362 (GRISELESF) for biological control of malaria vectors in Guatemala].</b> <i>Revista Cubana de Medicina Tropical</i>, <b>52</b>(1):37-43"
5115	14.233	-90.95	GTM	"Anopheles (Nyssorhynchus) albimanus Wiedemann, 1820"	1998	1998	3	5			unknown					"Blanco Castro, S.D., Martínez Arias, A., Cano Velásquez, O.R., Tello Granados, R. and Mendoza, I. (2000).  <b>[Introduction of <i>Bacillus sphaericus</i> strain-2362 (GRISELESF) for biological control of malaria vectors in Guatemala].</b> <i>Revista Cubana de Medicina Tropical</i>, <b>52</b>(1):37-43"
5116	-4.94	-80.56	PER	Anopheles (Anopheles) pseudopunctipennis species complex	1996	1996	8	8	morphology		larval collection	indoor light trap	man biting indoors	man biting outdoors		"Guthmann, J.P. (2002). <i>Environmental risk factors for malaria - A case-control study in Piura, Peru.</i> D. Phil. Thesis. London School of Hygiene & Tropical Medicine, London, United Kingdom."
5117	-4.94	-80.56	PER	"Anopheles (Nyssorhynchus) albimanus Wiedemann, 1820"					morphology		larval collection	indoor light trap	man biting indoors	man biting outdoors		"Guthmann, J.P. (2002). <i>Environmental risk factors for malaria - A case-control study in Piura, Peru.</i> D. Phil. Thesis. London School of Hygiene & Tropical Medicine, London, United Kingdom."
5118	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1983	1983	3	3	not applicable		man biting outdoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5119	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1983	1983	5	5	not applicable		man biting outdoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5120	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1983	1983	7	7	not applicable		man biting outdoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
5121	4.414	-54.432	SUR	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	1983	1983	8	8	not applicable		man biting outdoors					"Rozendaal, J.A. (1992).  <b>Relations between <i>Anopheles darlingi</i> breeding habitats, rainfall, river level and malaria transmission rates in the rain forest of Suriname.</b> <i>Medical and Veterinary Entomology</i>, <b>6</b>(1):16-22"
